 iy  im   date    soi
  1914   3  1914.208       1.3
  1914   4  1914.292      -1.6
  1914   5  1914.375      -1.3
  1914   6  1914.458      -1.8
  1914   7  1914.542      -1.3
  1914   8  1914.625      -1.0
  1914   9  1914.708      -1.0
  1914  10  1914.792       0.0
  1914  11  1914.875      -0.2
  1914  12  1914.958       0.4
  1915   1  1915.042      -2.7
  1915   2  1915.125       0.0
  1915   3  1915.208      -1.6
  1915   4  1915.292      -1.2
  1915   5  1915.375       0.5
  1915   6  1915.458       1.3
  1915   7  1915.542       1.7
  1915   8  1915.625       1.3
  1915   9  1915.708       1.4
  1915  10  1915.792       1.1
  1915  11  1915.875      -1.7
  1915  12  1915.958       0.7
  1916   1  1916.042       0.7
  1916   2  1916.125      -0.1
  1916   3  1916.208      -0.6
  1916   4  1916.292      -0.3
  1916   5  1916.375      -0.3
  1916   6  1916.458      -0.1
  1916   7  1916.542       1.7
  1916   8  1916.625       1.4
  1916   9  1916.708       0.4
  1916  10  1916.792       0.6
  1916  11  1916.875       0.6
  1916  12  1916.958       1.0
  1917   1  1917.042       0.9
  1917   2  1917.125       2.1
  1917   3  1917.208       2.0
  1917   4  1917.292       1.1
  1917   5  1917.375       1.2
  1917   6  1917.458       1.0
  1917   7  1917.542       1.7
  1917   8  1917.625       2.9
  1917   9  1917.708       3.1
  1917  10  1917.792       1.7
  1917  11  1917.875       1.6
  1917  12  1917.958       2.2
  1918   1  1918.042       2.0
  1918   2  1918.125       2.4
  1918   3  1918.208       0.2
  1918   4  1918.292       0.9
  1918   5  1918.375       0.3
  1918   6  1918.458      -0.8
  1918   7  1918.542      -1.7
  1918   8  1918.625      -0.3
  1918   9  1918.708      -0.1
  1918  10  1918.792      -0.1
  1918  11  1918.875      -0.0
  1918  12  1918.958      -0.9
  1919   1  1919.042      -1.6
  1919   2  1919.125      -0.6
  1919   3  1919.208      -1.1
  1919   4  1919.292      -0.6
  1919   5  1919.375      -1.2
  1919   6  1919.458      -1.2
  1919   7  1919.542      -1.3
  1919   8  1919.625      -0.7
  1919   9  1919.708      -0.2
  1919  10  1919.792      -0.7
  1919  11  1919.875      -1.0
  1919  12  1919.958      -1.1
  1920   1  1920.042       0.2
  1920   2  1920.125       0.2
  1920   3  1920.208      -0.0
  1920   4  1920.292      -0.5
  1920   5  1920.375      -0.8
  1920   6  1920.458      -0.4
  1920   7  1920.542       0.0
  1920   8  1920.625       0.2
  1920   9  1920.708       0.6
  1920  10  1920.792      -0.3
  1920  11  1920.875      -0.2
  1920  12  1920.958       0.6
  1921   1  1921.042       1.5
  1921   2  1921.125       1.2
  1921   3  1921.208       1.4
  1921   4  1921.292      -1.0
  1921   5  1921.375      -0.4
  1921   6  1921.458       1.8
  1921   7  1921.542      -0.3
  1921   8  1921.625      -0.6
  1921   9  1921.708       0.7
  1921  10  1921.792       1.3
  1921  11  1921.875       0.6
  1921  12  1921.958       0.6
  1922   1  1922.042       1.1
  1922   2  1922.125       1.3
  1922   3  1922.208       0.7
  1922   4  1922.292      -0.8
  1922   5  1922.375      -1.1
  1922   6  1922.458      -0.3
  1922   7  1922.542      -0.4
  1922   8  1922.625      -0.1
  1922   9  1922.708       0.6
  1922  10  1922.792       0.8
  1922  11  1922.875       0.7
  1922  12  1922.958       1.0
  1923   1  1923.042       0.7
  1923   2  1923.125       0.9
  1923   3  1923.208       1.0
  1923   4  1923.292      -0.0
  1923   5  1923.375      -0.5
  1923   6  1923.458      -0.6
  1923   7  1923.542      -1.4
  1923   8  1923.625      -1.5
  1923   9  1923.708      -1.2
  1923  10  1923.792      -0.2
  1923  11  1923.875      -1.2
  1923  12  1923.958       0.1
  1924   1  1924.042      -0.2
  1924   2  1924.125       0.6
  1924   3  1924.208       0.6
  1924   4  1924.292      -1.5
  1924   5  1924.375       0.3
  1924   6  1924.458       0.1
  1924   7  1924.542       0.3
  1924   8  1924.625       1.1
  1924   9  1924.708       1.0
  1924  10  1924.792       0.8
  1924  11  1924.875       0.9
  1924  12  1924.958       0.2
  1925   1  1925.042       0.8
  1925   2  1925.125       1.8
  1925   3  1925.208       1.4
  1925   4  1925.292       0.3
  1925   5  1925.375      -0.7
  1925   6  1925.458      -0.8
  1925   7  1925.542      -1.6
  1925   8  1925.625      -1.1
  1925   9  1925.708      -0.2
  1925  10  1925.792      -1.0
  1925  11  1925.875      -0.8
  1925  12  1925.958      -0.9
  1926   1  1926.042      -0.5
  1926   2  1926.125      -1.1
  1926   3  1926.208      -0.9
  1926   4  1926.292      -0.8
  1926   5  1926.375      -0.6
  1926   6  1926.458      -0.9
  1926   7  1926.542      -0.6
  1926   8  1926.625      -0.8
  1926   9  1926.708       0.3
  1926  10  1926.792       0.5
  1926  11  1926.875       0.1
  1926  12  1926.958       0.4
  1927   1  1927.042       0.7
  1927   2  1927.125       0.6
  1927   3  1927.208       2.2
  1927   4  1927.292       0.1
  1927   5  1927.375      -0.0
  1927   6  1927.458       0.2
  1927   7  1927.542      -0.4
  1927   8  1927.625      -0.6
  1927   9  1927.708       0.3
  1927  10  1927.792      -0.1
  1927  11  1927.875      -0.8
  1927  12  1927.958       0.8
  1928   1  1928.042      -0.5
  1928   2  1928.125       1.7
  1928   3  1928.208       1.6
  1928   4  1928.292       0.5
  1928   5  1928.375      -0.5
  1928   6  1928.458      -0.9
  1928   7  1928.542      -0.5
  1928   8  1928.625       1.0
  1928   9  1928.708       1.1
  1928  10  1928.792       1.0
  1928  11  1928.875       0.2
