years(Äê£© mjd gps(input) gps(rm_leap) gps(rm_leap_3sigma) gps(rm_leap_sigma_depoly) gps(rm_leap_sigma_running_aver) gps(rm_leap_sigma_running_aver_sigma) year month day
2004.343 53130.5    0.28    0.28    0.28    0.35    0.13    0.13 2004    5    5
2004.346 53131.5   -0.12   -0.12   -0.12   -0.05   -0.26   -0.26 2004    5    6
2004.348 53132.5    6.20    6.20    6.20    6.28    6.08    6.08 2004    5    7
2004.351 53133.5   12.32   12.32   12.32   12.40   12.18   12.18 2004    5    8
2004.354 53134.5    5.44    5.44    5.44    5.52    5.31    5.31 2004    5    9
2004.357 53135.5    3.98    3.98    3.98    4.05    3.87    3.87 2004    5   10
2004.359 53136.5    5.91    5.91    5.91    5.98    5.84    5.84 2004    5   11
2004.362 53137.5    8.54    8.54    8.54    8.61    8.49    8.49 2004    5   12
2004.365 53138.5    8.15    8.15    8.15    8.22    8.13    8.13 2004    5   13
2004.367 53139.5    2.22    2.22    2.22    2.28    2.21    2.21 2004    5   14
2004.370 53140.5   -8.04   -8.04    2.50    2.57    2.50    2.50 2004    5   15
2004.373 53141.5    2.79    2.79    2.79    2.85    2.80    2.80 2004    5   16
2004.376 53142.5    6.41    6.41    6.41    6.48    6.44    6.44 2004    5   17
2004.378 53143.5   10.58   10.58   10.58   10.64   10.62   10.62 2004    5   18
2004.381 53144.5   11.74   11.74   11.74   11.80   11.81   11.81 2004    5   19
2004.384 53145.5    9.21    9.21    9.21    9.27    9.30    9.30 2004    5   20
2004.387 53146.5   10.17   10.17   10.17   10.23   10.28   10.28 2004    5   21
2004.389 53147.5    8.24    8.24    8.24    8.29    8.35    8.35 2004    5   22
2004.392 53148.5   10.77   10.77   10.77   10.82   10.91   10.91 2004    5   23
2004.395 53149.5   10.21   10.21   10.21   10.26   10.37   10.37 2004    5   24
2004.398 53150.5    4.54    4.54    4.54    4.59    4.71    4.71 2004    5   25
2004.400 53151.5    6.38    6.38    6.38    6.43    6.59    6.59 2004    5   26
2004.403 53152.5    8.97    8.97    8.97    9.02    9.21    9.21 2004    5   27
2004.406 53153.5    8.56    8.56    8.56    8.61    8.81    8.81 2004    5   28
2004.408 53154.5    5.26    5.26    5.26    5.31    5.51    5.51 2004    5   29
2004.411 53155.5    2.73    2.73    2.73    2.78    3.01    3.01 2004    5   30
2004.414 53156.5   10.15   10.15   10.15   10.19   10.45   10.45 2004    5   31
2004.417 53157.5    9.69    9.69    9.69    9.74   10.01   10.01 2004    6    1
2004.419 53158.5    7.80    7.80    7.80    7.85    8.14    8.14 2004    6    2
2004.422 53159.5    9.96    9.96    9.96   10.01   10.35   10.35 2004    6    3
2004.425 53160.5    5.78    5.78    5.78    5.82    6.20    6.20 2004    6    4
2004.428 53161.5    6.87    6.87    6.87    6.91    7.32    7.32 2004    6    5
2004.430 53162.5    4.51    4.51    4.51    4.54    4.96    4.96 2004    6    6
2004.433 53163.5    6.84    6.84    6.84    6.88    7.33    7.33 2004    6    7
2004.436 53164.5    3.68    3.68    3.68    3.72    4.19    4.19 2004    6    8
2004.438 53165.5    5.20    5.20    5.20    5.23    5.72    5.72 2004    6    9
2004.441 53166.5   -0.03   -0.03   -0.03    0.00    0.53    0.53 2004    6   10
2004.444 53167.5   -5.19   -5.19   -0.85   -0.82   -0.26   -0.26 2004    6   11
2004.447 53168.5   -1.66   -1.66   -1.66   -1.63   -1.06   -1.06 2004    6   12
2004.449 53169.5    1.86    1.86    1.86    1.90    2.49    2.49 2004    6   13
2004.452 53170.5    4.51    4.51    4.51    4.54    5.14    5.14 2004    6   14
2004.455 53171.5   12.75   12.75   12.75   12.78   13.39   13.39 2004    6   15
2004.458 53172.5    1.60    1.60    1.60    1.62    2.25    2.25 2004    6   16
2004.460 53173.5    5.88    5.88    5.88    5.90    6.55    6.55 2004    6   17
2004.463 53174.5    8.66    8.66    8.66    8.68    9.35    9.35 2004    6   18
2004.466 53175.5    8.56    8.56    8.56    8.58    9.27    9.27 2004    6   19
2004.469 53176.5    5.54    5.54    5.54    5.56    6.27    6.27 2004    6   20
2004.471 53177.5    8.68    8.68    8.68    8.70    9.44    9.44 2004    6   21
